title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"637542",69,Done,1.141,-4.22072,"glide-grid_1",-4.22072,-1.64799,-0.16,-0,-2.39903,-18.4724,-1.54262,1.14131,0,-25.2492,-20.015,0.360816
"640199",70,Done,1.453,-6.18128,"glide-grid_1",-6.18128,-2.19627,-0.32,-0,-2.3,-18.709,-2.86372,0,0,-29.2825,-21.5727,0.591887
"643733",71,Done,2.625,-3.62949,"glide-grid_1",-3.62949,-2.00873,-0.32,-0,-2.29618,-29.4106,-4.7427,3.17735,0,-39.3993,-34.1533,4.08418
"736186",72,Done,1.704,-4.81742,"glide-grid_1",-4.81742,-1.90191,-0.152113,-0,-2.26397,-20.2626,-2.34326,0.865196,0,-32.6993,-22.6059,0.905177
"1201518",73,Done,1.453,-5.8524,"glide-grid_1",-5.8524,-1.59395,-0.401892,-0,-2.25,-18.9673,-4.38795,0,0,-31.2702,-23.3553,0.00848421
"1548883",74,Done,2.062,-4.00852,"glide-grid_1",-4.00852,0,-0.526817,-0,-2.09198,-10.6233,-10.8674,0.865196,-0.093649,-29.3871,-21.4907,3.10626
"1548943",75,Done,46.204,-5.05436,"glide-grid_1",-5.05436,-2.13066,0,-0,-1.63443,-29.6586,-10.5812,1.78085,0,-49.9674,-40.2398,6.57216
"1549025",76,Done,17.188,-2.38175,"glide-grid_1",-2.38175,-1.59502,0,-0,-2.37392,-16.3206,1.97897,2.10637,0,-16.0957,-14.3417,3.46243
"1549106",77,Done,1.468,-3.94033,"glide-grid_1",-3.94033,0,-0.52,-0,-2.25,-7.78251,-12.5017,1.14131,-0.0472726,-27.6278,-20.2842,3.3523
"3001662",78,Done,2.907,-3.29428,"glide-grid_1",-3.29428,-0.865797,0,-0,-0.674523,-30.0168,-1.68745,0,0,-36.0398,-31.7043,3.59846
