title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"1549106",77,Done,1.547,-5.84345,"glide-grid_2",-5.84345,-2.50071,0,-0,-3.19167,-21.5325,-1.43842,1.14131,0,-31.7605,-22.971,0.77688
"3001662",78,Done,4.172,-4.15812,"glide-grid_2",-4.15812,-0.678938,-0.31416,-0,-0.865967,-32.2019,-4.59307,0,0,-45.5578,-36.795,2.47457
"3084331",79,Done,1.531,-5.10872,"glide-grid_2",-5.10872,-1.65759,-0.16,-0,-1.89296,-18.8984,-3.02167,0,0,-29.2824,-21.9201,0.926519
"5280378",80,Done,1.954,-5.38147,"glide-grid_2",-5.38987,-1.44906,-0.159789,-0,-1.58002,-25.6713,-7.76959,0.247996,0,-44.8312,-33.4409,1.73333
"5281708",81,Done,1.64,-5.53299,"glide-grid_2",-5.54149,-1.34597,-0.35268,-0,-1.67565,-25.3862,-7.79948,0.272039,0,-44.7157,-33.1857,1.5766
"5283356",82,Done,24.328,-0.233545,"glide-grid_2",-0.233545,-3.23867,0,-0,-3.33157,-24.7898,-0.144378,7.59785,0,-24.3261,-24.9341,1.93949
"5315645",83,Done,2.562,-6.34855,"glide-grid_2",-6.34855,-3.9477,0,-0,-2.61619,-16.3758,0.0585818,1.02534,0,-18.9945,-16.3172,4.35006
"5317082",84,Done,1.094,-3.83308,"glide-grid_2",-4.20358,-1.34587,0,-0,-1.98358,-21.7562,-0.980928,0.360814,0,-28.1092,-22.7371,0.700793
"5317082",85,Done,1.469,-5.23351,"glide-grid_2",-5.68731,-2.42777,0,-0,-1.97433,-21.2254,-3.87948,0.357988,0,-36.9996,-25.1048,1.12052
"5317806",86,Done,3.89,-4.73607,"glide-grid_2",-4.73607,-1.07486,0,-0,-1.34621,-32.6152,-4.5616,0,0,-47.7025,-37.1768,1.29075
"5317807",87,Done,2.985,-4.45735,"glide-grid_2",-4.45735,-0.992499,0,-0,-0.774285,-23.7887,-9.5174,0,-0.0735236,-42.3728,-33.3061,2.62333
"5318565",88,Done,1.922,-5.18612,"glide-grid_2",-5.19622,-1.29726,0,-0,-1.89413,-24.1536,-5.31435,0,0,-38.999,-29.468,1.38521
"5318635",89,Done,21.672,-3.86911,"glide-grid_2",-3.86911,-3.73738,-0.0442037,-0,-3.23853,-27.0906,-0.473945,4.57663,0,-33.8249,-27.5646,0.895359
"5365891",90,Done,2.578,-4.02824,"glide-grid_2",-4.02824,-2.31,0,-0,-3.14629,-21.0213,-0.638327,2.57487,0,-26.0852,-21.6597,1.52646
"6450812",91,"GRID-ENERGY MIN FAILED",2.813,,,,,,,,,,,,,,
"6603886",92,Done,5.625,-8.40685,"glide-grid_2",-8.68385,-4.38357,0,-0,-2.63608,-30.6664,-6.23993,0.805117,0,-49.4921,-36.9064,9.18697
"6999975",93,Done,16.641,-3.1314,"glide-grid_2",-3.1314,-3.39867,0,-0,-3.30846,-26.619,-0.422776,4.97009,0,-29.346,-27.0417,5.80521
"7057972",94,Done,2.672,-6.14456,"glide-grid_2",-6.14456,-2.23223,-0.291233,-0,-2.99127,-21.1562,-1.88941,0.7114,0,-31.1334,-23.0456,0.530493
"11495015",95,Done,3.219,-4.81213,"glide-grid_2",-4.81213,-1.06913,-0.16,-0,-1.08683,-29.9116,-6.67068,0,0,-46.8012,-36.5823,2.59916
"12303902",96,Done,1.125,10000,"glide-grid_2",10000,-3.44142,0,-0,-2.82743,7.69308,-0.239067,0,0,10000,7.45401,2.69244
"12444363",97,Done,1.625,-6.81732,"glide-grid_2",-6.81732,-3.34265,0,-0,-2.84119,-20.2618,-4.2045,1.01029,0,-30.3916,-24.4663,0.542368
"12444363",98,Done,1.812,-6.49424,"glide-grid_2",-6.49424,-3.14982,0,-0,-2.96987,-20.6883,-2.33615,1.01029,0,-21.4062,-23.0244,6.04635
"14992068",99,Done,4.11,-4.53477,"glide-grid_2",-4.53477,-1.77565,0,-0,-0.774285,-33.3006,-1.98658,0,-0.0218227,-46.1059,-35.2872,0.997801
