title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
5365891,90,Done,1.64,-1.35541,glide-grid_1,-1.35541,-0.839942,0,0,-1.97788,-18.8062,-1.14766,2.57487,0,-18.7309,-19.9538,5.76911
6450812,91,Done,3.297,-4.74087,glide-grid_1,-4.74087,-1.5544,0,0,-2.01579,-22.8907,-0.174285,0,0,-29.2279,-23.065,0
6603886,92,Done,3.36,-5.6838,glide-grid_1,-5.9608,-1.74412,-0.455289,0,-2.06416,-21.2177,-9.60973,0.805117,0,-39.6232,-30.8274,4.80378
6999975,93,Done,7.875,-1.42681,glide-grid_1,-1.42681,-2.73082,-0.0380921,0,-2.05702,-26.7667,-1.4638,4.97009,-0.0130746,-29.3451,-28.2305,2.79119
7057972,94,Done,1.75,-4.57962,glide-grid_1,-4.57962,-1.47438,0,0,-2.68541,-17.9558,-1.55626,0.7114,0,-23.3828,-19.512,3.54513
11495015,95,Done,1.344,-2.81311,glide-grid_1,-2.81311,-0.273046,-0.00675742,0,-1.03082,-25.3579,-1.2475,0,-0.0474652,-30.7617,-26.6054,1.10073
12303902,96,Done,1.187,-4.73476,glide-grid_1,-4.73476,-1.78954,0,0,-2.01579,-19.4049,0.272128,0,0,-21.8957,-19.1328,2.24081
12444363,97,Done,1.328,-5.15801,glide-grid_1,-5.15801,-1.75794,0,0,-2.33199,-18.6721,-7.63179,1.01029,0,-39.7359,-26.3039,1.19782
12444363,98,Done,1.312,-4.81828,glide-grid_1,-4.81828,-1.45253,0,0,-2.50135,-20.5065,-5.66245,1.01029,0,-36.8367,-26.169,1.10176
14992068,99,Done,2.094,-3.51263,glide-grid_1,-3.51263,-1.18607,0,0,-0.774285,-28.8193,-0.656271,0,-0.0128727,-34.7909,-29.4756,1.31705
