title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"442399",59,Done,2.719,-4.56536,"glide-grid_1",-4.56536,-1.00108,-0.16,-0,-1.92045,-23.5919,-4.08696,0.352501,-0.0436951,-35.579,-27.6788,0.000292918
"442484",60,Done,1.515,-4.8803,"glide-grid_1",-4.8803,-1.44734,0,-0,-2.63333,-18.1993,0.735585,0,0,-22.2241,-17.4637,0.505398
"442811",61,Done,3.688,-6.83638,"glide-grid_1",-6.83638,-2.91324,-0.16,-0,-1.65686,-31.5433,-4.87026,0.201429,0,-49.7269,-36.4136,4.97735
"442985",62,Done,1.844,-5.28866,"glide-grid_1",-5.28866,-1.28615,-0.2,-0,-0.806974,-32.7841,-8.14562,0,-0.134488,-57.6413,-40.9297,0.327139
"443027",63,Done,2.234,-6.25883,"glide-grid_1",-6.25883,-2.8759,0,-0,-1.23803,-36.3795,-1.56611,0,-0.0910149,-50.8333,-37.9456,0.798597
"443158",64,Done,14.687,-2.47098,"glide-grid_1",-2.47098,-1.01666,-0.16,-0,-2.42225,-17.6882,-3.24356,2.49887,0,-23.1456,-20.9317,2.19051
"443162",65,Done,1.36,-4.66835,"glide-grid_1",-4.66835,-1.24955,-0.32,-0,-2.25,-18.4039,-3.68878,0.624717,0,-28.0633,-22.0927,0.162258
"445858",66,Done,2.015,-7.44614,"glide-grid_1",-7.44614,-2.39046,-0.628171,-0,-2.5208,-20.776,-11.554,0.865196,0,-47.5644,-32.33,3.48511
"625383",67,Done,3.141,-6.92827,"glide-grid_1",-6.92827,-2.35557,-0.615302,-0,-1.75719,-32.5856,-6.72499,0.443103,-0.00528669,-54.2812,-39.3106,2.31954
"637541",68,Done,1.547,-7.39121,"glide-grid_1",-7.39121,-2.40832,-0.562537,-0,-2.67952,-25.3993,-10.7479,1.14131,0,-52.0697,-36.1471,1.97716
"637542",69,Done,1.422,-6.70049,"glide-grid_1",-6.70049,-2.37603,-0.380834,-0,-2.69091,-25.1032,-7.5925,1.14131,0,-44.9441,-32.6957,1.3727
"640199",70,Done,1.64,-6.74961,"glide-grid_1",-6.74961,-2.72722,-0.311278,-0,-2.3,-25.784,-0.81272,0,0,-36.5524,-26.5968,1.51182
"643733",71,Done,4.375,-4.47307,"glide-grid_1",-4.47307,-2.10992,-0.460839,-0,-2.64815,-30.1474,-6.16094,3.17735,0,-45.3179,-36.3083,2.23041
"736186",72,Done,2.078,-6.76878,"glide-grid_1",-6.76878,-2.29263,-0.285845,-0,-2.53239,-27.1783,-7.76126,0.865196,0,-50.7875,-34.9396,4.31545
"1201518",73,Done,0.969,-5.88985,"glide-grid_1",-5.88985,-2.14262,-0.388177,-0,-2.25,-6.5868,-5.19809,0,0,-24.2323,-11.7849,0.34216
"1548883",74,Done,2.906,-6.40203,"glide-grid_1",-6.40203,-1.93297,-0.495265,-0,-2.15031,-17.2857,-12.0728,0.865196,-0.0134705,-43.4463,-29.3585,2.00593
"1548943",75,Done,81.297,-4.36604,"glide-grid_1",-4.36604,-1.56568,-0.165837,-0,-1.59748,-34.6653,-7.1283,1.78085,-0.01538,-51.6214,-41.7936,4.18716
"1549025",76,Done,34.032,-4.12752,"glide-grid_1",-4.12752,-1.90152,-0.108291,-0,-2.81244,-24.2118,-1.34032,2.10637,0,-31.6989,-25.5521,2.61449
"1549106",77,Done,2.063,-6.90702,"glide-grid_1",-6.90702,-2.31047,-0.516266,-0,-2.67124,-24.4958,-8.83714,1.14131,0,-48.0406,-33.3329,0.446657
"3001662",78,Done,4.031,-4.32064,"glide-grid_1",-4.32064,-1.12675,-0.351474,-0,-0.569562,-33.6389,-3.34104,0,-0.0897556,-43.1522,-36.9799,7.97159
"3084331",79,Done,1.672,-5.57822,"glide-grid_1",-5.57822,-1.92169,-0.32,-0,-1.89296,-19.4666,-3.13495,0,0,-27.7546,-22.6015,4.70927
