title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
442484,67,Done,0.485,-4.70321,glide-grid_13,-4.70321,-1.74214,0,0,-2.25,-13.7102,-0.170464,0,0,-17.5242,-13.8807,0.247266
442811,68,Done,1.265,-5.55952,glide-grid_13,-5.55952,-1.82419,0,0,-1.34781,-26.8804,-8.29954,0.201429,0,-44.9233,-35.18,2.36939
442985,69,Done,1.406,-2.04107,glide-grid_13,-4.48207,-1.36631,-0.227475,0,-0.589368,-38.0032,-2.6584,0,0,-50.9424,-40.6616,0.0232811
442985,70,Done,0.797,-5.26698,glide-grid_13,-5.27668,-1.948,0,0,-0.806974,-29.0096,-7.04673,0,-0.0142225,-50.1261,-36.0563,0.320867
443027,71,Done,0.844,-3.61447,glide-grid_13,-3.61447,-0.56826,-0.218129,0,-1.21987,-29.0322,-1.04394,0,0,-36.3982,-30.0762,0.559977
443158,72,Done,3.75,-3.33013,glide-grid_13,-3.33013,-1.98861,-0.32,0,-2.25,-14.2424,-3.7218,2.49887,0,-20.0526,-17.9642,3.20118
443162,73,Done,0.593,-4.57351,glide-grid_13,-4.57351,-1.49686,-0.32,0,-2.25,-13.1283,-3.16634,0.624717,0,-19.9345,-16.2946,1.55282
445858,74,Done,0.813,-1.27778,glide-grid_13,-5.50968,-0.979531,0,0,-2.08511,-20.957,-13.2531,0.600429,-0.00964801,-44.7865,-34.2102,4.01609
445858,75,Done,0.781,-3.91155,glide-grid_13,-3.91205,-0.468149,-0.296209,0,-2.09198,-15.5766,-7.10132,0.865196,-0.0768721,-32.5646,-22.6779,0.239992
625383,76,Done,0.906,-5.92851,glide-grid_13,-5.92851,-1.53456,-0.491451,0,-2.02673,-27.5498,-6.27589,0.443103,0,-46.6058,-33.8257,1.3719
637541,77,Done,0.61,-0.744855,glide-grid_13,-5.23316,-1.39836,-0.020427,0,-2.48085,-20.8607,-9.46976,1.12998,0,-38.5154,-30.3305,3.37943
637541,78,Done,0.531,-4.43967,glide-grid_13,-4.43997,-0.507996,-0.824297,0,-2.25,-12.9614,-8.51058,1.14131,-0.0743348,-32.1138,-21.472,0.226156
637542,79,Done,0.688,-1.28285,glide-grid_13,-5.47025,-0.883766,-0.311873,0,-2.25,-17.894,-14.7089,1.12998,-0.0535578,-42.1517,-32.6029,3.22523
637542,80,Done,0.485,-4.09593,glide-grid_13,-4.09643,-0.28928,-0.533267,0,-2.25,-11.2939,-10.4155,1.14131,-0.0381708,-31.4477,-21.7094,0.0605143
640199,81,Done,0.562,-5.27484,glide-grid_13,-5.27484,-1.39995,-0.233273,0,-2.25,-18.5942,-3.07939,0,0,-28.2037,-21.6736,1.11992
643733,82,Done,1.313,-1.7862,glide-grid_13,-1.7862,-1.20909,-0.135169,0,-1.64816,-26.6772,-3.78116,3.17735,-0.0700943,-33.9144,-30.4583,0.179429
736186,83,Done,0.812,-1.29121,glide-grid_13,-5.59491,-1.31304,0,0,-2.35552,-20.1753,-11.8356,0.857756,0,-41.888,-32.0109,3.15086
