title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"336327",53,Done,2.453,-5.00163,"glide-grid_1",-5.00163,-0.826897,-0.14878,-0,-1.55898,-22.0397,-9.09995,0,0,-40.0996,-31.1397,3.12129
"440917",54,Done,1.187,-3.15997,"glide-grid_1",-3.15997,-1.23318,0,-0,-2.31667,-10.7289,1.10035,0.761269,0,-11.5079,-9.62853,1.787
"440966",55,"GRID-ENERGY MIN FAILED",1.281,,,,,,,,,,,,,,
"440967",56,Done,1.484,10000,"glide-grid_1",10000,-0.53009,0,-0,-2.25,10.8847,0.0337409,0,0,10000,10.9184,0
"440968",57,Done,1.421,10000,"glide-grid_1",10000,-1.36364,0,-0,-2.25,4.74179,0.472579,0,0,10000,5.21436,0
"442391",58,"GRID-ENERGY MIN FAILED",1.641,,,,,,,,,,,,,,
"442399",59,"GRID-ENERGY MIN FAILED",2.078,,,,,,,,,,,,,,
"442484",60,Done,2.031,-4.06541,"glide-grid_1",-4.06541,-1.38295,0,-0,-2.29076,-7.44171,-0.130787,0,0,-11.2755,-7.5725,3.749
"442811",61,Done,3.922,-4.88377,"glide-grid_1",-4.88377,-0.646687,-0.696002,-0,-1.34781,-23.4749,-8.13971,0.201429,0,-41.0999,-31.6146,1.59784
"442985",62,Done,2.422,-3.09682,"glide-grid_1",-3.09682,-0.1495,0,-0,-0.581974,-23.1038,-7.71243,0,-0.0532966,-37.0136,-30.8162,0.326856
"443027",63,Done,3.032,-3.03839,"glide-grid_1",-3.03839,-0.343777,-0.16,-0,-1.049,-23.677,-2.01175,0,0,-30.3898,-25.6887,0.57649
"443158",64,Done,6.875,-1.17078,"glide-grid_1",-1.17078,-0.637946,-0.0743286,-0,-2.25,-6.58771,-2.5199,2.49887,0,-8.99177,-9.10761,2.23669
"443162",65,Done,2.032,10000,"glide-grid_1",10000,-0.682781,-0.197515,-0,-2.25,12.4126,-1.09909,0.624717,0,10000,11.3135,2.99371
"445858",66,Done,2.453,-4.70495,"glide-grid_1",-4.70495,-1.74332,-0.08527,-0,-2.4583,-13.1004,-4.18826,0.865196,0,-23.8978,-17.2887,8.36236
"625383",67,Done,3.453,-4.16995,"glide-grid_1",-4.16995,-0.680498,-0.32,-0,-1.45719,-21.0495,-7.08219,0.443103,-0.0405606,-34.7528,-28.1317,0.618542
"637541",68,Done,1.985,-4.86743,"glide-grid_1",-4.86743,-1.12043,-0.69459,-0,-2.25,-14.0954,-7.60027,1.14131,-0.0989169,-33.0743,-21.6956,1.59692
"637542",69,Done,2.078,-5.22374,"glide-grid_1",-5.22374,-1.68841,-0.241444,-0,-2.62906,-15.3101,-6.93763,1.14131,0,-32.0718,-22.2477,4.61798
"640199",70,Done,2.391,-5.3373,"glide-grid_1",-5.3373,-1.87636,-0.266218,-0,-2.25,-9.10047,-3.26466,0,0,-12.8738,-12.3651,1.05448
"643733",71,Done,3.844,-2.16905,"glide-grid_1",-2.16905,-1.31014,-0.28892,-0,-1.98652,-31.8879,-1.1095,3.17735,0,-36.7962,-32.9974,0.423672
"736186",72,Done,2.735,-3.42803,"glide-grid_1",-3.42803,-0.461573,-0.127319,-0,-2.13081,-16.7053,-4.92174,0.865196,0,-26.7008,-21.6271,1.76572
"1201518",73,"GRID-ENERGY MIN FAILED",1.391,,,,,,,,,,,,,,
"1548883",74,Done,2.782,-4.95965,"glide-grid_1",-4.95965,-1.70926,0,-0,-2.37819,-16.6975,-6.01679,0.865196,0,-26.0221,-22.7143,10.5995
"1548943",75,Done,35.485,-4.38672,"glide-grid_1",-4.38672,-1.93644,0,-0,-1.32673,-23.1418,-11.1704,1.78085,-0.0717469,-42.6494,-34.3122,2.7178
"1549025",76,Done,14.093,-3.06956,"glide-grid_1",-3.06956,-1.75218,-0.16,-0,-2.07077,-16.2627,-2.40883,2.10637,-0.0185276,-18.0988,-18.6715,2.48067
"1549106",77,Done,2.219,-5.06587,"glide-grid_1",-5.06587,-1.7205,-0.16,-0,-2.53724,-16.1351,-6.5513,1.14131,0,-30.7667,-22.6864,4.38626
"3001662",78,Done,4.297,-3.0359,"glide-grid_1",-3.0359,-0.0936409,-0.50069,-0,-0.655452,-22.7247,-4.33254,0,0,-32.2139,-27.0572,0.444184
"3084331",79,"GRID-ENERGY MIN FAILED",1.719,,,,,,,,,,,,,,
"5280378",80,Done,3,-4.58753,"glide-grid_1",-4.59593,-0.38379,-0.72,-0,-1.58002,-20.9286,-7.42458,0.247996,0,-36.6391,-28.3531,1.16324
"5281708",81,Done,2.406,-4.66224,"glide-grid_1",-4.67074,-0.388764,-0.72,-0,-1.67565,-20.0618,-7.70181,0.272039,0,-36.6107,-27.7636,0.894657
"5283356",82,Done,17.063,2.01151,"glide-grid_1",2.01151,-2.03808,0,-0,-2.25,-21.7374,-1.17735,7.59785,-0.0347883,-15.4587,-22.9147,9.54433
"5315645",83,"GRID-ENERGY MIN FAILED",2.266,,,,,,,,,,,,,,
"5317082",84,"GRID-ENERGY MIN FAILED",1.437,,,,,,,,,,,,,,
"5317082",85,"GRID-ENERGY MIN FAILED",1.531,,,,,,,,,,,,,,
"5317806",86,Done,3.297,-3.27713,"glide-grid_1",-3.27713,-0.47457,0,-0,-1.10932,-25.9689,-2.63201,0,0,-33.4497,-28.6009,0.651691
"5317807",87,Done,2.844,-2.75741,"glide-grid_1",-2.75741,-0.00674033,-0.188539,-0,-0.933873,-22.2355,-3.44318,0,0,-28.5864,-25.6787,3.18212
"5318565",88,Done,2.828,-4.43809,"glide-grid_1",-4.44819,-0.756104,-0.317051,-0,-1.89413,-19.8696,-3.24947,0,0,-29.5678,-23.119,0.410273
"5318635",89,Done,13.672,-0.708435,"glide-grid_1",-0.708435,-1.74138,-0.0409887,-0,-1.98859,-22.289,-2.42551,4.57663,-0.0358291,-22.6615,-24.7145,5.65153
"5365891",90,Done,2.703,-1.36499,"glide-grid_1",-1.36499,-0.763844,0,-0,-2.48808,-12.7533,-0.335158,2.57487,0,-13.0891,-13.0885,1.77819
"6450812",91,"GRID-ENERGY MIN FAILED",1.594,,,,,,,,,,,,,,
"6603886",92,Done,5.391,-5.91354,"glide-grid_1",-6.19054,-2.08548,-0.338753,-0,-2.09808,-26.8682,-7.53294,0.805117,0,-42.8702,-34.4012,10.787
"6999975",93,Done,10.937,-0.157549,"glide-grid_1",-0.157549,-1.5336,-0.4485,-0,-2.11535,-11.3989,-2.9212,4.97009,-0.0220668,-11.8698,-14.3201,4.96365
"7057972",94,Done,2.812,-4.16282,"glide-grid_1",-4.16282,-1.50149,-0.00809333,-0,-2.67614,-9.30598,-1.48791,0.7114,0,-10.1061,-10.7939,3.53108
"11495015",95,Done,3.391,-3.60185,"glide-grid_1",-3.60185,-0.0748281,-0.72,-0,-0.678943,-16.6183,-8.55362,0,-0.0141231,-29.9412,-25.1719,1.97735
"12303902",96,"GRID-ENERGY MIN FAILED",1.703,,,,,,,,,,,,,,
"12444363",97,"GRID-ENERGY MIN FAILED",1.734,,,,,,,,,,,,,,
"12444363",98,"GRID-ENERGY MIN FAILED",1.719,,,,,,,,,,,,,,
"14992068",99,Done,3.578,-3.32145,"glide-grid_1",-3.32145,-0.703503,0,-0,-0.793736,-26.8047,-3.2265,0,0,-35.7086,-30.0312,0.605435
